Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Release_Year
Hellraiser,14564000.0,14564000.0,,1000000.0,1987-09-18,,,New World,Based on Book/Short Story,Horror,Fantasy,,63.0,7.0,22442.0,1987
Hero,19487173.0,66787173.0,,42000000.0,1992-10-02,,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Stephen Frears,,6.4,323.0,1992
Highlander III: The Sorcerer,13738574.0,13738574.0,,26000000.0,1995-01-27,PG-13,,Miramax,Original Screenplay,Action,Fantasy,,,3.8,7763.0,1995
Highlander,5900000.0,12900000.0,,16000000.0,1986-03-07,R,,20th Century Fox,Original Screenplay,Action,Fantasy,Russell Mulcahy,66.0,7.2,40802.0,1986
How Green Was My Valley,0.0,0.0,,1250000.0,1941-10-28,,,20th Century Fox,Based on Book/Short Story,,,John Ford,88.0,7.9,7420.0,1941
High Noon,8000000.0,8000000.0,,730000.0,1951-12-31,,,,,,,Fred Zinnemann,95.0,8.3,34163.0,1951
History of the World: Part I,31672000.0,31672000.0,,11000000.0,1981-06-12,,,20th Century Fox,Original Screenplay,Comedy,Historical Fiction,Mel Brooks,,6.5,16691.0,1981
"Hello, Dolly",33208099.0,33208099.0,,24000000.0,1969-12-16,,,,,,,,,4.4,254.0,1969
Halloween II,25533818.0,25533818.0,,2500000.0,1981-10-30,,,Universal,,Horror,Contemporary Fiction,Rick Rosenthal,27.0,4.9,12197.0,1981
Halloween 3: Season of the Witch,14400000.0,14400000.0,,2500000.0,1982-10-22,,,Universal,,Horror,Contemporary Fiction,,,3.8,12644.0,1982
Halloween 4: The Return of Michael Myers,17768757.0,17768757.0,,5000000.0,1988-10-01,,,Universal,,Horror,Fantasy,Dwight H. Little,23.0,5.6,11079.0,1988
Halloween 5: The Revenge of Michael Myers,11642254.0,11642254.0,,6000000.0,1989-10-13,,,Galaxy International Releasing,,Horror,Fantasy,,14.0,,,1989
Halloween:  The Curse of Michael Myers,15126948.0,15126948.0,,5000000.0,1995-09-29,R,,Miramax,,Horror,Contemporary Fiction,,,4.4,8576.0,1995
Halloween,47000000.0,70000000.0,,325000.0,1978-10-17,,,,,Horror,,John Carpenter,93.0,6.0,39866.0,1978
Home Alone 2: Lost in New York,173585516.0,358994850.0,,20000000.0,1992-11-20,PG,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Chris Columbus,21.0,5.8,51408.0,1992
Home Alone,285761243.0,476684675.0,,15000000.0,1990-11-16,PG,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Chris Columbus,47.0,7.0,79080.0,1990
Home Movies,89134.0,89134.0,,400000.0,1980-05-16,,,,,,,,,5.3,291.0,1980
Hum to Mohabbt Karega,121807.0,121807.0,,2000000.0,2000-05-26,Not Rated,,,,Drama,,,,3.6,74.0,2000
The Hotel New Hampshire,5142858.0,5142858.0,,7500000.0,1984-03-09,,,Orion Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,,69.0,5.8,4387.0,1984
Henry V,10161099.0,10161099.0,,9000000.0,1989-11-08,PG-13,,Goldwyn Entertainment,Based on Play,Action,Historical Fiction,Kenneth Branagh,100.0,7.9,14499.0,1989
Housefull,1183658.0,14883658.0,,10100000.0,2010-04-30,,,Eros Entertainment,,,,,,4.6,687.0,2010
Hook,119654823.0,300854823.0,,70000000.0,1991-12-11,,,Sony Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Steven Spielberg,24.0,6.2,60159.0,1991
House Party 2,19438638.0,19438638.0,,5000000.0,1991-10-23,,,New Line,Original Screenplay,Comedy,Contemporary Fiction,,25.0,4.3,1596.0,1991
Hocus Pocus,39360491.0,39360491.0,,28000000.0,1993-07-16,,,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,,29.0,6.0,15893.0,1993
The Howling,17985000.0,17985000.0,,1000000.0,1981-04-10,,,,,,,Joe Dante,60.0,6.5,8731.0,1981
High Plains Drifter,15700000.0,15700000.0,,15700000.0,1972-01-01,,,Universal,Original Screenplay,Western,Historical Fiction,Clint Eastwood,,7.6,15718.0,1972
Hoop Dreams,7768371.0,11768371.0,,700000.0,1994-10-14,PG-13,,Fine Line,Based on Real Life Events,Documentary,Factual,,98.0,8.0,9492.0,1994
Happy Gilmore,38623460.0,38623460.0,,10000000.0,1996-02-16,PG-13,92.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,58.0,6.9,54111.0,1996
The Hudsucker Proxy,2816518.0,14938149.0,,40000000.0,1994-03-11,PG,,Warner Bros.,Original Screenplay,Comedy,,Joel Coen,58.0,7.4,32344.0,1994
A Hard Day's Night,12299668.0,12299668.0,,560000.0,1964-08-11,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,,100.0,7.6,15291.0,1964
Heroes,655538.0,655538.0,,400000.0,2008-10-24,R,,Eros Entertainment,Original Screenplay,Adventure,Contemporary Fiction,,,6.1,505.0,2008
The Hunt for Red October,120709866.0,200500000.0,,30000000.0,1990-03-02,,,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,John McTiernan,95.0,7.6,55202.0,1990
Harper,12000000.0,12000000.0,,3500000.0,1966-02-23,,,,,,,,,7.0,2395.0,1966
Harriet the Spy,26570048.0,26570048.0,,13000000.0,1996-07-10,PG,101.0,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,45.0,5.8,2963.0,1996
Le hussard sur le toit,1320043.0,1320043.0,,35000000.0,1996-04-19,R,,Miramax,Based on Book/Short Story,Drama,Historical Fiction,,,6.9,3083.0,1996
The Hustler,7600000.0,7600000.0,,2000000.0,1961-09-25,,,,,,,,97.0,8.1,25385.0,1961
Hud,10000000.0,10000000.0,,2500000.0,1963-05-29,,,,,,,Martin Ritt,79.0,3.4,93.0,1963
Hudson Hawk,17218916.0,17218916.0,,65000000.0,1991-05-24,,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Lehmann,20.0,5.3,21920.0,1991
Heaven's Gate,3484331.0,3484331.0,,44000000.0,1980-11-19,,,,,,,Michael Cimino,,6.5,4649.0,1980
Hav Plenty,2301777.0,2301777.0,,650000.0,1998-06-19,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,,,5.6,580.0,1998
House of Wax,23800000.0,23800000.0,,658000.0,1953-04-10,R,,,,,,,94.0,5.4,32159.0,1953
Hawaii,34562222.0,34562222.0,,15000000.0,1966-10-10,,,MGM,,,,George Roy Hill,,6.4,1153.0,1966
Howard the Duck,16295774.0,16295774.0,,30000000.0,1986-08-01,,,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,,16.0,4.1,16051.0,1986
High Anxiety,31063038.0,31063038.0,,3400000.0,1977-12-23,,,,,,,Mel Brooks,73.0,6.5,7025.0,1977
Hybrid,162605.0,162605.0,,200000.0,2002-05-10,Not Rated,,Indican Pictures,Based on Real Life Events,Documentary,Factual,,,2.2,380.0,2002
It's a Wonderful Life,6600000.0,6600000.0,19339789.0,3180000.0,1945-12-31,,,,,,,Frank Capra,94.0,8.7,101499.0,1945
The Ice Pirates,13075390.0,13075390.0,,9000000.0,1984-03-16,,,MGM/UA Classics,Original Screenplay,Comedy,Science Fiction,,11.0,5.1,3600.0,1984
Independence Day,306169255.0,817400878.0,,75000000.0,1996-07-02,PG-13,145.0,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Roland Emmerich,61.0,6.5,149493.0,1996
The Island of Dr. Moreau,27682712.0,27682712.0,,40000000.0,1996-08-23,PG-13,95.0,New Line,Based on Book/Short Story,Adventure,Science Fiction,John Frankenheimer,23.0,4.1,13770.0,1996
Iraq for Sale: The War Profiteers,0.0,0.0,,775000.0,2006-09-08,,,,Based on Real Life Events,Documentary,Factual,,100.0,7.8,854.0,2006
In Her Line of Fire,884.0,884.0,,1000000.0,2006-04-21,R,,Regent Releasing,Original Screenplay,Action,Contemporary Fiction,,,3.5,337.0,2006
The Indian in the Cupboard,35627222.0,35627222.0,,45000000.0,1995-07-14,PG,,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Frank Oz,68.0,5.7,4836.0,1995
I Love You Ö Don't Touch Me!,33598.0,33598.0,,68000.0,1998-02-20,,,MGM,,,,,,5.6,298.0,1998
Illuminata,836641.0,836641.0,,10000000.0,1999-08-06,R,,Artisan,Based on Play,Drama,Historical Fiction,,,6.1,1100.0,1999
In Cold Blood,13000000.0,13000000.0,,3500000.0,1966-12-31,,,,,,,Richard Brooks,88.0,8.1,10562.0,1966
In the Company of Men,2883661.0,2883661.0,,25000.0,1997-08-01,R,,Sony Pictures Classics,Based on Play,Drama,Contemporary Fiction,Neil LaBute,89.0,7.2,7601.0,1997
The Inkwell,8864699.0,8864699.0,,8000000.0,1994-04-22,R,,Walt Disney Pictures,Original Screenplay,Comedy,Historical Fiction,,29.0,5.7,542.0,1994
Invaders from Mars,4884663.0,4984663.0,,12000000.0,1986-06-06,,,Cannon,Remake,Horror,Science Fiction,Tobe Hooper,27.0,5.0,1933.0,1986
L'incomparable mademoiselle C.,493905.0,493905.0,,3400000.0,2004-04-23,Not Rated,,,,,,,,6.1,66.0,2004
Intolerance,,,,385907.0,1916-09-05,,,,,,,,96.0,,,1916
The Island,15716828.0,15716828.0,,22000000.0,1980-06-13,PG-13,138.0,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Michael Ritchie,,6.9,82601.0,1980
Eye See You,79161.0,1807990.0,,55000000.0,2002-09-20,Not Rated,,,,,,,,5.1,397.0,2002
In the Heat of the Night,24379978.0,24379978.0,,2000000.0,1967-08-02,,,MGM,,,,Norman Jewison,96.0,8.1,22429.0,1967
Jack,58617334.0,58617334.0,,45000000.0,1996-08-09,PG-13,113.0,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Francis Ford Coppola,17.0,5.3,17267.0,1996
Jade,9812870.0,9812870.0,,50000000.0,1995-10-13,R,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,William Friedkin,16.0,4.8,5279.0,1995
Jingle All the Way,60592389.0,129832389.0,,60000000.0,1996-11-22,PG,89.0,20th Century Fox,Original Screenplay,Comedy,Kids Fiction,Brian Levant,16.0,4.9,22928.0,1996
Dr. No,16067035.0,59567035.0,,1000000.0,1963-05-08,,,MGM,Based on Book/Short Story,Action,,,,7.3,36019.0,1963
The Jungle Book,44342956.0,44342956.0,,27000000.0,1994-12-25,PG,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,,5.8,5564.0,1994
Judge Dredd,34687912.0,113487912.0,,85000000.0,1995-06-30,R,,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Science Fiction,,15.0,4.9,30736.0,1995
The Jerky Boys,7555256.0,7555256.0,,4000000.0,1995-02-03,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,10.0,3.9,1481.0,1995
Jefferson in Paris,2461628.0,2461628.0,,14000000.0,1995-03-31,PG-13,,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,James Ivory,36.0,5.6,1464.0,1995
JFK,70405498.0,205400000.0,,40000000.0,1991-12-20,R,,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,83.0,8.0,59684.0,1991
Journey from the Fall,635305.0,635305.0,,1300000.0,2007-03-23,R,,Imaginasian,Original Screenplay,Drama,Historical Fiction,,92.0,7.2,586.0,2007
Jekyll and Hyde... Together Again,3707583.0,3707583.0,,5000000.0,1982-08-27,,,Universal,Based on Book/Short Story,Comedy,Science Fiction,,,5.5,486.0,1982
Jumanji,100458310.0,262758310.0,,65000000.0,1995-12-15,PG,,Sony Pictures,Based on Book/Short Story,Adventure,Fantasy,Joe Johnston,48.0,6.4,54973.0,1995
The Juror,22730924.0,22730924.0,,44000000.0,1996-02-02,R,120.0,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,16.0,5.3,6482.0,1996
Jerusalema,7294.0,7294.0,,2000000.0,2010-06-11,R,,Anchor Bay Entertainment,Original Screenplay,,Historical Fiction,,,7.9,6777.0,2010
Jurassic Park,357067947.0,923067947.0,,63000000.0,1993-06-10,PG-13,,Universal,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,87.0,7.9,151365.0,1993
Johnny Suede,55000.0,55000.0,,500000.0,1990-12-31,,,Miramax,Original Screenplay,Drama,,,,5.8,1587.0,1990
Jaws,260000000.0,470700000.0,,12000000.0,1975-06-20,PG,,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,Steven Spielberg,100.0,8.3,138017.0,1975
Jaws 2,102922376.0,208900376.0,,20000000.0,1978-06-16,PG,,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,,56.0,5.6,18793.0,1978
Jaws 4: The Revenge,15728335.0,15728335.0,,23000000.0,1987-07-17,PG-13,,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,,,2.6,15632.0,1987
Kabhi Alvida Naa Kehna,3275443.0,32575443.0,,10750000.0,2006-08-11,Not Rated,,Yash Raj Films,Original Screenplay,Drama,Contemporary Fiction,,67.0,5.6,4128.0,2006
Kickboxer,14533681.0,14533681.0,,1500000.0,1989-09-08,,,Cannon,Original Screenplay,Action,Contemporary Fiction,Mark DiSalle,,5.5,11692.0,1989
Kids,7412216.0,20412216.0,,1500000.0,1995-07-21,Not Rated,90.0,Shining Excalibur,Original Screenplay,Drama,Contemporary Fiction,,50.0,6.7,26122.0,1995
Kingpin,25023424.0,32223424.0,,25000000.0,1996-07-26,R,113.0,MGM,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,51.0,6.7,28404.0,1996
Kindergarten Cop,91457688.0,202000000.0,,26000000.0,1990-12-21,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,50.0,5.8,40433.0,1990
King Kong (1933),10000000.0,10000000.0,,670000.0,1933-04-07,,100.0,,,,,,,,,1933
King Kong,52614445.0,90614445.0,,23000000.0,1976-12-17,,,,,,,John Guillermin,46.0,7.6,132720.0,1976
Kiss of Death,14942422.0,14942422.0,,40000000.0,1995-04-21,R,,20th Century Fox,Remake,Drama,Contemporary Fiction,Barbet Schroeder,67.0,7.6,2374.0,1995
The Kings of Appletown,0.0,0.0,,7000000.0,2008-12-12,,,,Original Screenplay,Action,Contemporary Fiction,,,,,2008
Koltchak,0.0,38585047.0,,20000000.0,2008-10-10,,,,,,,,,,,2008
Kingdom of the Spiders,17000000.0,17000000.0,,500000.0,1976-12-31,,,,,,,,44.0,5.7,1463.0,1976
Keeping it Real: The Adventures of Greg Walloch,1358.0,1358.0,,100000.0,2001-11-09,Not Rated,,Avatar,,,,,,,,2001
Akira,19585.0,19585.0,,8000000.0,2001-04-27,R,,,Based on Comic/Graphic Novel,Action,,,,7.9,39948.0,2001
Krush Groove,11052713.0,11052713.0,,3000000.0,1985-10-25,,,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,,,5.8,588.0,1985
Krrish,1430721.0,32430721.0,,10000000.0,2006-06-23,Not Rated,,AdLab Films,Original Screenplay,Action,Science Fiction,,100.0,6.1,2735.0,2006
Kansas City,1353824.0,1353824.0,,19000000.0,1996-08-16,R,,New Line,Original Screenplay,Drama,Historical Fiction,Robert Altman,58.0,6.0,2397.0,1996
The Last Emperor,43984000.0,43984000.0,,25000000.0,1987-11-20,,,Sony/Columbia,Based on Book/Short Story,Drama,Dramatization,Bernardo Bertolucci,91.0,7.9,24262.0,1987
Last Action Hero,50016394.0,137298489.0,,85000000.0,1993-06-18,,,Sony Pictures,Original Screenplay,Action,Fantasy,John McTiernan,38.0,5.9,43171.0,1993
Live and Let Die,35400000.0,161800000.0,,7000000.0,1973-06-27,,,MGM,Based on Book/Short Story,Action,,Guy Hamilton,64.0,6.8,24044.0,1973
Lage Raho Munnabhai,2217561.0,31517561.0,,2700000.0,2006-09-01,Not Rated,,Eros Entertainment,Original Screenplay,Comedy,Contemporary Fiction,,,7.8,5236.0,2006
The Last Waltz,321952.0,321952.0,,35000.0,2002-04-05,Not Rated,,MGM,,,,,,8.0,6893.0,2002
The Last Big Thing,22434.0,22434.0,,1000000.0,1998-09-25,R,,Stratosphere Entertainment,,,,,,6.0,139.0,1998
The Land Before Time,48092846.0,81972846.0,,12300000.0,1988-11-18,,,Universal,Original Screenplay,Adventure,Historical Fiction,Don Bluth,71.0,6.9,14017.0,1988
The Longest Day,39100000.0,50100000.0,,10000000.0,1962-10-04,,,20th Century Fox,Based on Real Life Events,Action,Dramatization,,92.0,7.8,17712.0,1962
The Living Daylights,51185000.0,191200000.0,,40000000.0,1987-07-31,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,73.0,6.7,23735.0,1987
Aladdin,217350219.0,504050219.0,,28000000.0,1992-11-11,G,,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,,,7.8,69090.0,1992
A Low Down Dirty Shame,29317886.0,29317886.0,,10000000.0,1994-11-23,R,,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Keenen Ivory Wayans,,5.4,1847.0,1994
Love and Death on Long Island,2542264.0,2542264.0,,4030000.0,1998-03-06,PG-13,,Lionsgate,Based on Book/Short Story,Drama,Contemporary Fiction,,,6.9,2506.0,1998
Ladyhawke,18400000.0,18400000.0,,20000000.0,1985-04-12,,,Warner Bros.,Original Screenplay,Action,Fantasy,Richard Donner,63.0,6.7,15260.0,1985
Nikita,5017971.0,5017971.0,,7000000.0,1991-03-08,,,Goldwyn Entertainment,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Luc Besson,,7.5,24872.0,1991
Lion of the Desert,1500000.0,1500000.0,,35000000.0,1979-12-31,,,United Film Distribution Co.,,,,,,7.8,2659.0,1979
Legal Eagles,49851591.0,49851591.0,,40000000.0,1986-06-18,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,50.0,5.6,4471.0,1986
Legend,15502112.0,15502112.0,,25000000.0,1986-04-18,,,Universal,Original Screenplay,Adventure,Fantasy,Ridley Scott,,6.1,20734.0,1986
The Last House on the Left,3100000.0,3100000.0,,87000.0,1972-08-30,R,,,,,,,63.0,6.7,22141.0,1972
Lifeforce,11603545.0,11603545.0,,25000000.0,1985-06-21,,,Sony/TriStar,Based on Book/Short Story,Horror,Science Fiction,Tobe Hooper,57.0,5.8,5727.0,1985
Lady in White,1705139.0,1705139.0,,4700000.0,1988-04-22,,,New Century Vista Film Company,Original Screenplay,Horror,Fantasy,,73.0,6.6,2221.0,1988
The Long Kiss Goodnight,33447612.0,33447612.0,,65000000.0,1996-10-11,R,120.0,New Line,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,69.0,6.6,28257.0,1996
Lake of Fire,25317.0,25317.0,,6000000.0,2007-10-03,Not Rated,,ThinkFilm,Based on Real Life Events,Documentary,Factual,,,8.4,1027.0,2007
Elling,313436.0,313436.0,,2100000.0,2002-05-29,R,,,,,,,,7.5,7114.0,2002
Lolita (1962),9250000.0,9250000.0,,2000000.0,1962-01-01,,,,,Drama,,Stanley Kubrick,,,,1962
Elmer Gantry,10400000.0,10400000.0,,3000000.0,1959-12-31,,,,,,,Richard Brooks,96.0,7.8,4185.0,1959
El Mariachi,2040920.0,2040920.0,,7000.0,1993-02-26,,,Sony/Columbia,Original Screenplay,Action,,Robert Rodriguez,,7.0,19668.0,1993
Last Man Standing,18115927.0,18115927.0,,67000000.0,1996-09-20,R,100.0,New Line,Original Screenplay,Action,Historical Fiction,Walter Hill,,,,1996
Aliens,85160248.0,183316455.0,,17000000.0,1986-07-18,R,137.0,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,100.0,7.5,84.0,1986
Alien³,54927174.0,158500000.0,,55000000.0,1992-05-22,R,,20th Century Fox,Original Screenplay,Action,Science Fiction,David Fincher,37.0,6.3,78860.0,1992
The Lion King,328539505.0,783839505.0,,79300000.0,1994-06-15,G,,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Rob Minkoff,92.0,8.2,136503.0,1994
Love and Death,20123742.0,20123742.0,,3000000.0,1975-06-10,,,MGM,Original Screenplay,Comedy,,Woody Allen,100.0,7.6,12111.0,1975
Love and Other Catastrophes,212285.0,743216.0,,250000.0,1997-03-28,R,,Fox Searchlight,,Comedy,,,,5.7,1406.0,1997
Love Letters,5269990.0,5269990.0,,550000.0,1984-04-27,PG-13,,New World,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,7.3,477.0,1984
The Legend of the Lone Ranger,13400000.0,13400000.0,,18000000.0,1981-05-22,,,Universal,Remake,Western,Historical Fiction,,,4.6,755.0,1981
The Last of the Mohicans,72455275.0,72455275.0,,40000000.0,1992-09-25,,,20th Century Fox,Based on Book/Short Story,Action,Historical Fiction,Michael Mann,97.0,7.8,45410.0,1992
Love Me Tender,9000000.0,9000000.0,,1000000.0,1955-12-31,,,,,,,,38.0,5.9,1301.0,1955
The Long Riders,15198912.0,15198912.0,,10000000.0,1980-05-16,,,United Artists,Original Screenplay,Action,Historical Fiction,Walter Hill,79.0,7.1,3791.0,1980
Losin' It,1246141.0,1246141.0,,7000000.0,1983-04-08,,,,,,,,,4.6,1668.0,1983
The Loss of Sexual Innocence,399793.0,399793.0,,4000000.0,1999-05-28,,,Sony Pictures,,,,Mike Figgis,45.0,4.9,2263.0,1999
Legends of the Fall,66502573.0,66502573.0,,30000000.0,1994-12-23,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Edward Zwick,63.0,7.1,39815.0,1994
A League of Their Own,107533925.0,132440066.0,,40000000.0,1992-07-01,,,Sony Pictures,Original Screenplay,Comedy,Historical Fiction,Penny Marshall,81.0,6.9,33426.0,1992
Loaded Weapon 1,27979399.0,27979399.0,,13000000.0,1993-02-05,PG-13,,New Line,Original Screenplay,Comedy,Contemporary Fiction,,,5.7,17637.0,1993
The Lost Weekend,11000000.0,11000000.0,,1250000.0,1944-12-31,,,,,,,Billy Wilder,100.0,8.2,11864.0,1944
Le petit Nicolas,201857.0,52339566.0,,30000000.0,2010-02-19,,,,,,,,,6.9,1505.0,2010
Logan's Run,25000000.0,25000000.0,,7000000.0,1975-12-31,,,,,,Science Fiction,,70.0,6.7,14947.0,1975
Betty Fisher et autres histoires,206400.0,206400.0,,7500000.0,2002-09-13,Not Rated,,WellSpring,Based on Book/Short Story,Drama,,,,6.9,1054.0,2002
Light Sleeper,1050861.0,1050861.0,,5000000.0,1992-09-21,,,,,,,,94.0,6.7,1986.0,1992
Little Shop of Horrors,38747385.0,38747385.0,,30000000.0,1986-12-19,,,Warner Bros.,Remake,Musical,Fantasy,Frank Oz,91.0,6.6,21521.0,1986
Lone Star,12961389.0,12961389.0,,5000000.0,1996-06-21,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,John Sayles,92.0,7.6,14599.0,1996
Latter Days,833118.0,833118.0,,850000.0,2004-01-30,R,,TLA Releasing,,Drama,Contemporary Fiction,,,7.4,7157.0,2004
Lethal Weapon,65192350.0,120192350.0,,15000000.0,1987-03-06,,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,90.0,7.6,54994.0,1987
Lethal Weapon 3,144731527.0,319700000.0,,35000000.0,1992-05-15,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,56.0,6.5,39735.0,1992
The Last Time I Committed Suicide,12836.0,12836.0,,4000000.0,1997-06-20,R,,Roxie Releasing,,,,,,5.7,1181.0,1997
Little Voice,4595000.0,4595000.0,,6000000.0,1998-12-04,R,,Miramax,Based on Play,Musical,Contemporary Fiction,,83.0,6.9,8453.0,1998
The Last Temptation of Christ,8373585.0,8373585.0,,7000000.0,1988-08-12,,,Universal,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,83.0,7.5,20934.0,1988
License to Kill,34667015.0,156167015.0,,42000000.0,1989-07-14,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,,6.5,24558.0,1989
Cama adentro,200433.0,200433.0,,800000.0,2007-07-18,Not Rated,,Film Sales Company,Original Screenplay,Drama,Historical Fiction,,,7.2,466.0,2007
Leaving Las Vegas,31983777.0,49800000.0,,4000000.0,1995-10-27,R,,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Mike Figgis,89.0,7.6,42131.0,1995
The Lawnmower Man,32100816.0,32100816.0,,10000000.0,1992-03-06,,,New Line,Original Screenplay,Action,Science Fiction,,47.0,5.1,12607.0,1992
Lone Wolf McQuade,12232628.0,12232628.0,,5000000.0,1983-04-15,,,Orion Pictures,Original Screenplay,Action,Contemporary Fiction,,,5.8,2917.0,1983
Little Women,50003303.0,50003303.0,,15000000.0,1994-12-21,PG,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,,89.0,7.1,16514.0,1994
Lawrence of Arabia,37495385.0,69995385.0,,15000000.0,1962-12-16,,,Sony Pictures,Based on Book/Short Story,Adventure,Dramatization,David Lean,98.0,8.6,79421.0,1962
Menace II Society,27731527.0,27731527.0,,3500000.0,1993-05-26,R,,New Line,Original Screenplay,Action,Contemporary Fiction,Albert Hughes,85.0,7.4,14807.0,1993
Much Ado About Nothing,22549338.0,22549338.0,,8000000.0,1993-05-07,,,Goldwyn Entertainment,Based on Play,Drama,Historical Fiction,Kenneth Branagh,90.0,7.4,22470.0,1993
Major Dundee,14873.0,14873.0,,3800000.0,1965-04-07,PG-13,,Sony Pictures,Based on Book/Short Story,Western,Historical Fiction,,97.0,6.7,2588.0,1965
The Magic Flute,0.0,0.0,,27000000.0,1969-12-31,,,Here Films,,,,Kenneth Branagh,,6.4,499.0,1969
Mata Hari,900000.0,900000.0,,558000.0,1930-12-31,,,MGM,,,,,,2.2,376.0,1930
Malcolm X,48169910.0,48169910.0,,35000000.0,1992-11-18,,,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Spike Lee,90.0,7.7,23062.0,1992
Maniac,10000000.0,10000000.0,,350000.0,1979-12-31,,,,,,,,,6.2,3281.0,1979
Mary Poppins,102300000.0,102300000.0,,6000000.0,1964-08-26,,,,,Musical,,,100.0,7.7,34302.0,1964
Mary Reilly,5707094.0,6370115.0,,47000000.0,1996-02-23,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,27.0,5.5,6864.0,1996
Maximum Risk,14102929.0,51702929.0,,25000000.0,1996-09-13,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,,29.0,4.9,7064.0,1996
M*A*S*H,81600000.0,81600000.0,,3500000.0,1970-01-01,R,,,,,,Robert Altman,,8.6,8043.0,1970
The Mask,119920129.0,343900000.0,,18000000.0,1994-07-29,PG-13,,New Line,Based on Comic/Graphic Novel,Comedy,Fantasy,Chuck Russell,75.0,6.6,72981.0,1994
Mars Attacks!,37771017.0,101371017.0,,80000000.0,1996-12-13,PG-13,110.0,Warner Bros.,Original Screenplay,Comedy,Science Fiction,Tim Burton,50.0,6.3,76396.0,1996
Mo' Better Blues,16153000.0,16153000.0,,10000000.0,1990-08-03,,,Universal,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,72.0,6.3,4210.0,1990
Moby Dick,10400000.0,10400000.0,,4500000.0,1955-12-31,,,,Based on Book/Short Story,Adventure,Historical Fiction,John Huston,67.0,7.4,5969.0,1955
My Beautiful Laundrette,0.0,0.0,,400000.0,1986-04-01,,,Orion Classics,,,,Stephen Frears,,6.9,5381.0,1986
Michael Jordan to the MAX,18642318.0,18642318.0,,7000000.0,2000-05-05,Not Rated,46.0,Giant Screen Films,Based on Real Life Events,Documentary,Factual,,64.0,7.2,746.0,2000
